Order ID,Customer,Amount,Currency,Date,Channel
ORD-2024-00001,Carrefour Marina,4146.95,AED,2024-09-03,web
ORD-2024-00002,Carrefour Marina,64.5,USD,2024-09-28,app
ORD-2024-00003,Al Maya Group,1276.49,AED,2024-09-08,link
ORD-2024-00004,Al Maya Group,1330.25,AED,2024-09-22,web
ORD-2024-00005,Jumbo Electronics,59.95,AED,2024-09-10,link
ORD-2024-00006,Nando's JLT,1873.99,AED,2024-09-07,link
ORD-2024-00007,Zara Home Dubai,104.99,AED,2024-09-02,web
ORD-2024-00008,Spinneys Motor City,4023,AED,2024-09-16,app
ORD-2024-00009,Carrefour Marina,5503.25,AED,2024-09-30,link
ORD-2024-00010,Noon Retail,996.95,AED,2024-09-18,pos
ORD-2024-00011,Café Bateel,180.1,USD,2024-09-07,pos
ORD-2024-00012,Café Bateel,1388.49,USD,2024-09-06,link
ORD-2024-00013,Carrefour Marina,9264.05,AED,2024-09-19,link
ORD-2024-00014,Nando's JLT,3131.1,AED,2024-09-19,link
ORD-2024-00015,Kibsons,112.49,SAR,2024-09-28,web
ORD-2024-00016,Kibsons,2475.49,AED,2024-09-24,web
ORD-2024-00017,Jumbo Electronics,10285.5,AED,2024-09-13,web
ORD-2024-00018,Lulu Hypermarket,2037.99,AED,2024-09-23,app
ORD-2024-00019,Spinneys Motor City,7915,AED,2024-09-24,app
ORD-2024-00020,Home Centre,2081.5,AED,2024-09-26,app
ORD-2024-00021,Nando's JLT,65.05,USD,2024-09-05,link
ORD-2024-00022,Al Futtaim Trading,16,USD,2024-09-03,link
ORD-2024-00023,Lulu Hypermarket,270.75,SAR,2024-09-10,pos
ORD-2024-00024,Kibsons,5026.1,EUR,2024-09-06,link
ORD-2024-00025,Carrefour Marina,173.25,AED,2024-09-19,app
ORD-2024-00026,Zara Home Dubai,1065.25,AED,2024-09-28,link
ORD-2024-00027,Noon Retail,132,USD,2024-09-14,link
ORD-2024-00028,Sharaf DG,841.1,AED,2024-09-12,web
ORD-2024-00029,Kibsons,182,AED,2024-09-08,app
ORD-2024-00030,Müller & Co,9324.99,EUR,2024-09-15,pos
ORD-2024-00031,Noon Retail,91.95,AED,2024-09-10,link
ORD-2024-00032,Nando's JLT,2345.49,AED,2024-09-13,app
ORD-2024-00033,Home Centre,13042.05,AED,2024-09-30,pos
ORD-2024-00034,Nando's JLT,2620.49,AED,2024-09-07,pos
ORD-2024-00035,Lulu Hypermarket,5015.25,SAR,2024-09-04,link
ORD-2024-00036,Kibsons,13884.5,AED,2024-09-11,app
ORD-2024-00037,Home Centre,594.1,SAR,2024-09-30,app
ORD-2024-00038,Sharaf DG,14783.1,AED,2024-09-21,app
ORD-2024-00039,Émile Boutique,2006.99,AED,2024-09-12,link
ORD-2024-00040,Nando's JLT,112.49,AED,2024-09-19,app
ORD-2024-00041,Al Maya Group,1267.99,AED,2024-09-21,pos
ORD-2024-00042,Jumbo Electronics,92.05,AED,2024-09-02,pos
ORD-2024-00043,Al Maya Group,625.05,AED,2024-09-03,pos
ORD-2024-00044,Lulu Hypermarket,10018.1,AED,2024-09-29,link
ORD-2024-00045,Al Futtaim Trading,1150,USD,2024-09-17,app
ORD-2024-00046,Café Bateel,161.95,SAR,2024-09-23,web
ORD-2024-00047,Al Maya Group,126,AED,2024-09-22,app
ORD-2024-00048,Lulu Hypermarket,4766.5,USD,2024-09-18,pos
ORD-2024-00049,Noon Retail,936.99,USD,2024-09-25,app
ORD-2024-00050,Al Futtaim Trading,9690.99,AED,2024-09-13,web
ORD-2024-00051,Nando's JLT,528.5,AED,2024-09-01,app
ORD-2024-00052,Home Centre,391,AED,2024-09-26,app
ORD-2024-00053,Kibsons,145.05,SAR,2024-09-25,app
ORD-2024-00054,Home Centre,1320.49,USD,2024-09-09,pos
ORD-2024-00055,Spinneys Motor City,27,AED,2024-09-19,pos
ORD-2024-00056,Noon Retail,84.49,USD,2024-09-23,app
ORD-2024-00057,Home Centre,2036.49,USD,2024-09-19,link
ORD-2024-00058,Café Bateel,114.75,AED,2024-09-01,pos
ORD-2024-00059,Spinneys Motor City,2022.5,AED,2024-09-19,pos
ORD-2024-00060,Kibsons,1268.05,AED,2024-09-13,app
ORD-2024-00061,Nando's JLT,5781.1,USD,2024-09-15,web
ORD-2024-00062,Café Bateel,35,AED,2024-09-08,link
ORD-2024-00063,Müller & Co,10671.99,AED,2024-09-03,app
