psp_transaction_id;merchant_reference;amount;currency;payment_date;status;transaction_type;card_brand;merchant_name
TXN700957;ORD-2024-00190;7336.25;AED;2024-09-16;CAPTURED;CAPTURE;MASTERCARD;Café Bateel
TXN704179;ORD-2024-00847;63.75;USD;2024-09-27;CAPTURED;CAPTURE;VISA;Home Centre
TXN705065;ORD-2024-01007;-100.00;AED;2024-10-27;CHARGEBACK;CHARGEBACK;VISA;Jumbo Electronics
TXN704242;ORD-2024-00862;1720.75;EUR;2024-09-30;CAPTURED;CAPTURE;MADA;Jumbo Electronics
TXN700816;ORD-2024-00165;536.1;AED;2024-09-12;CAPTURED;CAPTURE;MASTERCARD;Kibsons
TXN703553;ORD-2024-00718;189.49;AED;2024-09-18;CAPTURED;CAPTURE;MADA;Zara Home Dubai
TXN701425;ORD-2024-00285;2441;SAR;2024-09-01;CAPTURED;CAPTURE;MASTERCARD;Al Maya Group
TXN700423;ORD-2024-00083;8995;AED;2024-09-06;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN700728;ORD-2024-00149;8568.5;AED;2024-09-08;CAPTURED;CAPTURE;MADA;Home Centre
TXN702730;ORD-2024-00550;13453.25;USD;2024-09-06;CAPTURED;CAPTURE;MASTERCARD;Al Maya Group
TXN700971;ORD-2024-00193;36.95;AED;2024-09-16;CAPTURED;CAPTURE;MASTERCARD;Al Futtaim Trading
TXN701052;ORD-2024-00208;1892;AED;2024-09-03;CAPTURED;CAPTURE;MADA;Jumbo Electronics
TXN704137;ORD-2024-00838;85.1;AED;2024-09-24;CAPTURED;CAPTURE;VISA;Home Centre
TXN703186;ORD-2024-00643;1750;AED;2024-09-06;CAPTURED;CAPTURE;MASTERCARD;Émile Boutique
TXN704935;ORD-2024-00992;1636;AED;2024-10-01;CAPTURED;CAPTURE;AMEX;Al Maya Group
TXN701156;ORD-2024-00231;6272.75;AED;2024-09-10;CAPTURED;CAPTURE;MADA;Jumbo Electronics
TXN703271;ORD-2024-00662;4621.95;AED;2024-09-16;CAPTURED;CAPTURE;MADA;Noon Retail
TXN702892;ORD-2024-00580;464.1;AED;2024-09-08;CAPTURED;CAPTURE;MASTERCARD;Kibsons
TXN700479;ORD-2024-00095;2476.1;AED;2024-09-03;CAPTURED;CAPTURE;VISA;Al Maya Group
TXN703007;ORD-2024-00608;1135;SAR;2024-09-23;CAPTURED;CAPTURE;MASTERCARD;Müller & Co
