Order ID,Customer,Amount,Currency,Date
ORD-1001,Café Bateel,150.00,AED,2024-09-01
ORD-1002,Noon Retail,99.99,AED,2024-09-01
ORD-1003,Sharaf DG,1250.50,USD,2024-09-02
ORD-1004,Lulu Hypermarket,45.00,AED,2024-09-02
ORD-1005,Kibsons,300.00,SAR,2024-09-03
ORD-1006,Home Centre,780.25,AED,2024-09-03
ORD-1007,Jumbo Electronics,2199.00,AED,2024-09-04
ORD-1008,Spinneys,12.50,AED,2024-09-04
ORD-1009,Zara Home,560.00,EUR,2024-09-05
ORD-1010,Al Maya Group,89.90,AED,2024-09-05
ORD-1006,Home Centre,780.25,AED,2024-09-03
ORD-1011,Nando's,64.00,AED,2024-09-06
ORD-1012,Café Bateel,100.00,AED,2024-09-07
ORD-1013,Noon Retail,100.00,AED,2024-09-07
ORD-1014,Kibsons,100.00,AED,2024-09-08
ORD-1015,Home Centre,100.00,AED,2024-09-08
