psp_transaction_id;merchant_reference;amount;currency;payment_date;status;transaction_type
TXN-1;ORD-1003;1250.50;USD;2024-09-02;CAPTURED;CAPTURE
TXN-2;ORD-1001;150.00;AED;2024-09-01;CAPTURED;CAPTURE
TXN-3;ORD-1002;99.90;AED;2024-09-02;CAPTURED;CAPTURE
TXN-4;ORD-1005;300.00;AED;2024-09-03;CAPTURED;CAPTURE
TXN-5;ORD-1007;2199.00;AED;2024-09-04;CAPTURED;CAPTURE
TXN-6;ORD-1007;2199.00;AED;2024-09-05;CAPTURED;CAPTURE
TXN-7;ORD-1008;12.5;AED;2024-09-04;CAPTURED;CAPTURE
TXN-8;ORD-1010;89.90;AED;2024-09-05;CAPTURED;CAPTURE
TXN-9;ORD-1011;64.00;AED;2024-09-06;CAPTURED;CAPTURE
TXN-10;ORD-9999;20.00;AED;2024-09-06;CAPTURED;CAPTURE
TXN-11;ORD-1006;780.25;AED;2024-09-03;CAPTURED;CAPTURE
TXN-12;ORD-1012;60.00;AED;2024-09-07;CAPTURED;CAPTURE
TXN-13;ORD-1012;40.00;AED;2024-09-08;CAPTURED;CAPTURE
TXN-14;ORD-1013;60.00;AED;2024-09-07;CAPTURED;CAPTURE
TXN-15;ORD-1013;35.00;AED;2024-09-08;CAPTURED;CAPTURE
TXN-16;ORD-1014;100.00;AED;2024-09-08;CAPTURED;CAPTURE
TXN-17;ORD-1014;-30.00;AED;2024-09-10;REFUNDED;REFUND
TXN-18;ORD-1015;100.00;AED;2024-09-08;CAPTURED;CAPTURE
TXN-19;ORD-1015;100.00;AED;2024-09-11;REFUNDED;REFUND
TXN-20;ORD-1016;100.00;AED;2024-09-09;CAPTURED;CAPTURE
TXN-21;ORD-1016;-100.00;AED;2024-10-02;CHARGEBACK;CHARGEBACK
